"","x"
"449",4
"450",4
"451",4
"452",3
"453",6
"454",2
"455",3
"456",6
"457",1
"458",2
"459",4
"460",0
"461",1
"462",3
"463",3
"464",0
"465",1
"466",4
"467",1
"468",3
"469",3
"470",0
"471",2
"472",3
"473",2
"474",1
"475",1
"476",3
"477",2
"478",5
"479",5
"480",2
"481",2
"482",3
"483",2
"484",6
"485",2
"486",3
"487",6
"488",3
"489",3
"490",2
"491",2
"492",3
"493",3
"494",0
"495",2
"496",2
"497",2
"498",3
"499",2
"500",2
"501",3
"502",0
"503",3
"504",1
"505",2
"506",4
"507",4
"508",5
"509",4
"510",2
"511",3
"512",3
"513",7
"514",1
"515",2
"516",4
"517",0
"518",5
"519",6
"520",4
"521",0
"522",1
"523",4
"524",5
"525",3
"526",2
"527",4
"528",3
"529",2
"530",2
"531",6
"532",0
"533",5
"534",0
"535",3
"536",2
"537",3
"538",5
"539",2
"540",2
"541",1
"542",1
"543",2
"544",5
"545",2
"546",2
"547",0
"548",4
"549",5
"550",3
"551",5
"552",3
"553",4
"554",4
"555",3
"556",3
"557",4
"558",2
"559",5
"560",2
"561",1
"562",5
"563",4
"564",2
"565",3
"566",2
"567",0
"568",1
"569",0
"570",2
"571",5
"572",4
"573",5
"574",1
"575",5
"576",3
"577",3
"578",2
"579",1
"580",6
"581",3
"582",3
"583",3
"584",4
"585",4
"586",1
"587",0
"588",3
"589",2
"590",5
"591",3
"592",3
"593",4
"594",3
"595",3
"596",1
"597",3
"598",3
"599",3
"600",8
"601",0
"602",3
"603",2
"604",3
"605",1
"606",3
"607",2
"608",2
"609",5
"610",1
"611",3
"612",2
"613",1
"614",5
"615",2
"616",2
"617",1
"618",2
"619",4
"620",2
"621",5
"622",2
"623",1
"624",2
"625",2
"626",3
"627",2
"628",3
"629",2
"630",2
"631",1
"632",4
"633",3
"634",4
"635",3
"636",4
"637",4
"638",1
"639",4
"640",2
"641",2
"642",1
"643",2
"644",4
"645",7
"646",6
"647",3
"648",1
"649",4
"650",5
"651",0
"652",3
"653",3
"654",4
"655",5
"656",3
"657",5
"658",2
"659",5
"660",5
"661",4
"662",4
"663",2
"664",1
"665",3
"666",5
"667",5
"668",2
"669",2
"670",3
"671",2
"672",3
"673",5
"674",5
"675",4
"676",5
"677",3
"678",2
"679",5
"680",4
"681",3
"682",6
"683",1
"684",4
"685",7
"686",2
"687",0
"688",2
"689",0
"690",3
"691",4
"692",3
"693",4
"694",6
"695",3
"696",4
"697",3
"698",4
"699",0
"700",3
"701",4
"702",4
"703",4
"704",3
"705",3
"706",2
"707",4
"708",6
"709",2
"710",1
"711",1
"712",3
"713",4
"714",5
"715",5
"716",5
"717",6
"718",5
"719",4
"720",1
"721",5
"722",3
"723",3
"724",4
"725",2
"726",5
"727",3
"728",2
"729",3
"730",1
"731",1
"732",2
"733",1
"734",2
"735",2
"736",6
"737",5
"738",0
"739",7
"740",2
"741",0
"742",2
"743",4
"744",2
"745",3
"746",3
"747",1
"748",1
"749",3
"750",3
"751",3
"752",2
"753",2
"754",2
"755",8
"756",3
"757",1
"758",5
"759",2
"760",3
"761",6
"762",1
"763",7
"764",4
"765",3
"766",3
"767",1
"768",2
"769",2
"770",3
"771",2
"772",2
"773",0
"774",2
"775",3
"776",2
"777",0
"778",4
"779",2
"780",1
"781",1
"782",5
"783",2
"784",4
"785",3
"786",5
"787",4
"788",0
"789",1
"790",3
"791",3
"792",4
"793",3
"794",5
"795",4
"796",2
"797",0
"798",4
"799",6
"800",4
"801",2
"802",2
"803",0
"804",5
"805",4
"806",3
"807",1
"808",1
"809",2
"810",2
"811",3
"812",3
"813",3
"814",3
"815",2
"816",1
"817",1
"818",5
"819",2
"820",2
"821",1
"822",2
"823",1
"824",1
"825",5
"826",2
"827",6
"828",7
"829",2
"830",2
"831",0
"832",3
"833",4
"834",1
"835",2
"836",3
"837",4
"838",2
"839",5
"840",4
"841",1
"842",1
"843",0
"844",4
"845",2
"846",5
"847",5
"848",2
"849",1
"850",2
"851",2
"852",3
"853",4
"854",3
"855",2
"856",3
"857",4
"858",2
"859",2
"860",5
"861",6
"862",4
"863",2
"864",2
"865",2
"866",1
"867",1
"868",1
"869",2
"870",6
"871",4
"872",5
"873",0
"874",5
"875",3
"876",3
"877",1
"878",4
"879",2
"880",2
"881",5
"882",3
"883",3
"884",1
"885",0
"886",2
"887",4
"888",4
"889",2
"890",4
"891",1
"892",1
"893",6
"894",2
"895",2
"896",2
"897",4
"898",0
"899",5
"900",3
"901",1
"902",3
"903",1
"904",4
"905",1
"906",1
"907",0
"908",2
"909",4
"910",4
"911",5
"912",2
"913",3
"914",3
"915",1
"916",3
"917",3
"918",4
"919",1
"920",0
"921",2
"922",6
"923",1
"924",2
"925",3
"926",5
"927",4
"928",5
"929",2
"930",4
"931",4
"932",2
"933",2
"934",3
"935",1
"936",2
"937",3
"938",0
"939",3
"940",2
"941",4
"942",3
"943",1
"944",3
"945",4
"946",1
"947",3
"948",1
"949",0
"950",3
"951",3
"952",3
"953",0
"954",2
"955",5
"956",6
"957",6
"958",3
"959",7
"960",5
"961",2
"962",3
"963",3
"964",7
"965",2
"966",8
"967",6
"968",5
"969",3
"970",4
"971",3
"972",2
"973",5
"974",4
"975",3
"976",5
"977",4
"978",1
"979",2
"980",5
"981",2
"982",4
"983",0
"984",1
"985",3
"986",4
"987",3
"988",5
"989",3
"990",3
"991",2
"992",5
"993",2
"994",4
"995",4
"996",1
"997",7
"998",4
"999",2
"1000",1
